party_family,year,environment_climate_issue1_sum,environment_climate_issue1_mean,healthcare_issue1_sum,healthcare_issue1_mean,climate_health_sum,climate_health_mean
Conservative,2019.0,56,0.01499330655957162,192,0.05140562248995984,9,0.0024096385542168677
Conservative,2020.0,109,0.019803779069767442,995,0.18077761627906977,72,0.01308139534883721
Conservative,2021.0,112,0.022913256955810146,615,0.12581833060556466,74,0.015139116202945991
Conservative,2022.0,83,0.015525626636737748,253,0.047325102880658436,26,0.004863449307893753
Conservative,2023.0,52,0.01664,84,0.02688,20,0.0064
Conservative,2024.0,71,0.01787512588116818,110,0.02769385699899295,30,0.0075528700906344415
Green,2010.0,252,0.06066441983630236,177,0.04260953298025999,24,0.005777563793933558
Green,2011.0,255,0.06265356265356266,156,0.03832923832923833,17,0.004176904176904177
Green,2012.0,245,0.0684931506849315,132,0.03690243220575901,17,0.004752585965893207
Green,2013.0,192,0.06147934678194044,122,0.039065001601024656,18,0.005763688760806916
Green,2014.0,276,0.07896995708154507,158,0.04520743919885551,8,0.0022889842632331904
Green,2015.0,406,0.1122787610619469,152,0.0420353982300885,17,0.004701327433628319
Green,2016.0,325,0.09800965018094089,147,0.044330518697225575,13,0.0039203860072376355
Green,2017.0,360,0.1323529411764706,109,0.04007352941176471,7,0.002573529411764706
Green,2018.0,327,0.1563845050215208,71,0.03395504543280727,9,0.00430416068866571
Green,2019.0,410,0.22174148188209844,64,0.03461330448891293,12,0.006489994591671174
Green,2020.0,243,0.1208955223880597,187,0.09303482587064676,29,0.014427860696517412
Green,2021.0,341,0.1872597473915431,195,0.1070840197693575,36,0.019769357495881382
Green,2022.0,261,0.145,82,0.04555555555555556,12,0.006666666666666667
Green,2023.0,116,0.1554959785522788,33,0.04423592493297587,5,0.006702412868632708
Green,2024.0,148,0.15778251599147122,35,0.03731343283582089,10,0.010660980810234541
Liberal,2010.0,42,0.019310344827586208,104,0.04781609195402299,23,0.010574712643678161
Liberal,2011.0,69,0.031826568265682656,107,0.04935424354243542,24,0.01107011070110701
Liberal,2012.0,62,0.029467680608365018,110,0.05228136882129278,7,0.003326996197718631
